site,latitude,longitude
ABALONE_POINT_1,39.6915,-123.8141
ABALONE_POINT_2,39.66502,-123.80435
ABALONE_POINT_3,39.62877,-123.79658
ANACAPA_ADMIRALS_CEN,34.002883,-119.4252
ANACAPA_ADMIRALS_E,34.003433,-119.418
ANACAPA_ADMIRALS_W,34.00775,-119.434383
ANACAPA_BLACK_SEA_BASS,34.0126,-119.389183
ANACAPA_EAST_FISH_CAMP_CEN,34.001583,-119.398067
ANACAPA_EAST_FISH_CAMP_E,34.0045,-119.385783
ANACAPA_EAST_FISH_CAMP_W,34.003083,-119.404167
ANACAPA_EAST_ISLE_CEN,34.017667,-119.363683
ANACAPA_EAST_ISLE_E,34.017033,-119.361133
ANACAPA_EAST_ISLE_W,34.015867,-119.371733
ANACAPA_LIGHTHOUSE_REEF_CEN,34.012783,-119.363133
ANACAPA_LIGHTHOUSE_REEF_E,34.0139,-119.36
ANACAPA_LIGHTHOUSE_REEF_W,34.010783,-119.3725
ANACAPA_MIDDLE_ISLE_CEN,34.0100609,-119.3877751
ANACAPA_MIDDLE_ISLE_E,34.0085,-119.388167
ANACAPA_MIDDLE_ISLE_W,34.007833,-119.394467
ANACAPA_WEST_ISLE_CEN,34.016983,-119.432917
ANACAPA_WEST_ISLE_E,34.016083,-119.421833
ANACAPA_WEST_ISLE_W,34.017417,-119.438067
ANDREW_MOLERA_DC,36.276089,-121.873038
ANDREW_MOLERA_OLD_DC,36.273592,-121.869709
ANDREW_MOLERA_UC,36.277685,-121.875988
ARGUELLO_E,34.541733,-120.571717
ARGUELLO_W,34.5405,-120.569117
ARROYO_QUEMADO_E,34.466283,-120.116967
ARROYO_QUEMADO_W,34.46835,-120.125183
ASILOMAR_DC,36.632245,-121.946677
ASILOMAR_UC,36.636512,-121.945589
BIG_CREEK_DC,36.069079,-121.605115
BIG_CREEK_UC,36.069152,-121.60804
BIRD_ROCK,36.59343,-121.97135
BIXBY,36.368468,-121.907499
BLUEFISH_DC,36.52381268,-121.945094
BLUEFISH_UC,36.522225,-121.943542
BROOKINGS_3,42.00195,-124.24337
BUCHON,35.244079,-120.901098
BULLITO,34.455433,-120.33205
BUTTERFLY_DC,36.537439,-121.93567
BUTTERFLY_UC,36.539655,-121.936297
CAMBRIA_DC,35.567893,-121.124319
CAMBRIA_UC,35.570495,-121.127145
CANNERY_DC,36.614953,-121.896037
CANNERY_UC,36.612639,-121.894574
CARMEL_DC,36.542364,-121.938197
CARMEL_UC,36.544064,-121.938865
CASPAR_1,39.37403,-123.82683
CASPAR_2,39.36445,-123.82388
CASPAR_3,39.35937,-123.82807
CAT_BLUE_CAVERN,33.446603,-118.476392
CAT_INTAKE_PIPES,33.447386,-118.483264
CAYUCOS_DC,35.434393,-120.947256
CAYUCOS_UC,35.43415,-120.950473
CHINA_ROCK,36.598436,-121.972419
COJO_E,34.441287,-120.416793
COJO_W,34.443204,-120.423326
COOPER,36.263146,-121.856608
COUNTY_LINE,34.043017,-118.952217
CROWBAR,35.226163,-120.881427
CYPRESS_PT_DC,36.579645,-121.982468
CYPRESS_PT_UC,36.585774,-121.980331
DEL_MAR_MPA_1,38.73895,-123.51562
DEL_MAR_MPA_2,38.73729,-123.51281
DEL_MAR_MPA_3,38.73736,-123.50758
DEL_MAR_REFERENCE_1,38.72604,-123.49116
DEL_MAR_REFERENCE_2,38.71638,-123.46883
DEL_MAR_REFERENCE_2,38.71557,-123.4698
DEL_MAR_REFERENCE_3,38.70397,-123.4554
DEL_MAR_REFERENCE_3,38.70378,-123.4564
DEL_MAR_REFERENCE_4,38.69138,-123.44355
DOLAN_DC,36.100175,-121.628374
DOLAN_UC,36.109202,-121.633561
DOUBLE_CONE_1,39.79362,-123.84815
DOUBLE_CONE_2,39.75422,-123.84463
DUCK_POND_DC,35.857257,-121.424817
DUCK_POND_UC,35.858239,-121.426419
DUNES,34.7731,-120.65022
ELK_HEADLANDS_2,39.172449,-123.760522
ELK_HEADLANDS_3,39.139918,-123.737243
ESALEN_DC,36.124409,-121.647987
ESALEN_UC,36.128113,-121.653046
ESTERO,35.472387,-121.029631
FALSE_SUR,36.277556,-121.886822
FULLERS,36.208106,-121.752165
GREEN_PEAK,35.190104,-120.830687
HARMONY,35.49641,-121.057808
HOPKINS_DC,36.623586,-121.904196
HOPKINS_UC,36.621649,-121.900789
HORSESHOE_REEF_E,34.38945,-119.544767
HORSESHOE_REEF_W,34.391733,-119.5577
IV_REEF_E,34.40295,-119.864517
IV_REEF_W,34.404733,-119.876283
JALAMA_N,34.48696,-120.500523
JALAMA_S,34.480842,-120.494458
LA_CRUZ_DC,35.710426,-121.324076
LA_CRUZ_UC,35.713009,-121.325389
LECHUZA,34.03505,-118.87098
LECHUZA,34.03186,-118.86313
LEO_CARRILLO,34.04284698,-118.9331549
LINGCOD_DC,36.562028,-121.962185
LINGCOD_UC,36.565485,-121.968571
LITTLE_DUME_W,34.00654,-118.79097
LITTLE_IRISH_CEN,35.178059,-120.817733
LITTLE_IRISH_DC,35.175931,-120.812501
LITTLE_IRISH_UC,35.18421,-120.825084
LONE_TREE,36.566418,-121.970688
LOPEZ_DC,36.022241,-121.581233
LOPEZ_OLD_UC,36.030994,-121.582622
LOPEZ_UC,36.02901,-121.581676
LOVERS_DC,36.625774,-121.910735
LOVERS_UC,36.62422,-121.909082
LUCIA_DC,36.016207,-121.558327
LUCIA_UC,36.016003,-121.564657
MACABEE_DC,36.618184,-121.896835
MACABEE_UC,36.617148,-121.895695
MALPASO,36.465747,-121.933984
MCWAY_DC,36.163808,-121.681516
MCWAY_UC,36.166574,-121.685982
MILL_CREEK_DC,35.972098,-121.491162
MILL_CREEK_UC,35.975929,-121.493489
MONASTERY_DC,36.525415,-121.933322
MONASTERY_UC,36.525267,-121.930507
MONTANA_DE_ORO,35.23323,-120.89081
NAPLES_CEN,34.42185,-119.9515
NAPLES_E,34.423333,-119.951017
NAPLES_W,34.424633,-119.955317
NICHOLAS_CANYON_W,34.03996,-118.92427
NORTH_SAN_SIMEON,35.635042,-121.211614
OTTER_PT_DC,36.636484,-121.921162
OTTER_PT_UC,36.634633,-121.918929
PALO_COLORADO,36.397717,-121.911431
PARANOIDS,35.537171,-121.100215
PARTINGTON,36.1743,-121.699
PESCADERO_DC,36.559412,-121.955191
PESCADERO_UC,36.561121,-121.959761
PICO_CREEK_DC,35.605322,-121.150695
PICO_CREEK_UC,35.612518,-121.15569
PINNACLES_IN,36.559476,-121.966113
PINNACLES_OUT,36.557936,-121.967737
PINOS,36.640454,-121.928734
PISMO_W,35.156467,-120.6912
PLASKETT_DC,35.912913,-121.480079
PLASKETT_UC,35.915871,-121.478733
POINT_ARENA_MPA_1,38.95117,-123.74404
POINT_ARENA_MPA_2,38.94484,-123.74052
POINT_ARENA_REFERENCE_1,38.908,-123.7191
POINT_ARENA_REFERENCE_2,38.89199,-123.70432
POINT_ARENA_REFERENCE_3,38.88297,-123.69522
POINT_ARENA_REFERENCE_3,38.88296,-123.69521
POINT_ARENA_REFERENCE_4,38.87487,-123.68838
POINT_CABRILLO_1,39.35348,-123.82672
POINT_CABRILLO_2,39.35083,-123.82935
POINT_CABRILLO_3,39.34447,-123.82563
POINT_DUME,33.99884,-118.80659
PT_JOE,36.605094,-121.971465
PT_SUR_DC,36.28307,-121.893321
PT_SUR_UC,36.291239,-121.898882
PURISIMA_N,34.729501,-120.631705
PURISIMA_S,34.726948,-120.627138
PYRAMID_POINT_1,41.99898,-124.24377
PYRAMID_POINT_2,41.99057,-124.23588
PYRAMID_POINT_3,41.97938,-124.23073
RADAR,35.512221,-121.073443
RUSSIAN_GULCH_1,39.34039,-123.822
RUSSIAN_GULCH_3,39.33136,-123.817
SABER_JETS,36.948018,-122.034035
SALMON_CREEK_DC,35.806176,-121.365886
SALMON_CREEK_UC,35.8081,-121.374967
SALT_POINT_MPA_1,38.58623,-123.34668
SALT_POINT_MPA_2,38.57217,-123.34266
SALT_POINT_MPA_3,38.56274,-123.32922
SALT_POINT_REFERENCE_1,38.53724,-123.28933
SALT_POINT_REFERENCE_2,38.52177,-123.27335
SALT_POINT_REFERENCE_3,38.50151,-123.23712
SALT_POINT_REFERENCE_4,38.4871,-123.21817
SALT_POINT_REFERENCE_5,38.55381,-123.30908
SAL_CEN,34.871917,-120.632567
SAL_E,34.871867,-120.6296
SAL_FAR_WEST,34.873317,-120.633567
SAL_N,34.87315,-120.634483
SAL_S,34.871733,-120.630083
SAL_W,34.872667,-120.6327
SANDHILL_DC,36.97293,-122.149429
SANDHILL_UC,36.974306,-122.152109
SAN_SIMEON_BAY,35.62405,-121.164699
SAN_SIMEON_DC,35.631667,-121.190248
SAN_SIMEON_UC,35.630567,-121.19494
SAUNDERS_MPA_1,38.85587,-123.66842
SAUNDERS_MPA_2,38.85035,-123.66662
SAUNDERS_MPA_3,38.84695,-123.66128
SAUNDERS_MPA_4,38.83573,-123.64898
SAUNDERS_REFERENCE_1,38.82227,-123.62233
SAUNDERS_REFERENCE_1,38.82226,-123.62233
SAUNDERS_REFERENCE_2,38.80408,-123.5981
SAUNDERS_REFERENCE_3,38.77883,-123.55918
SAUNDERS_REFERENCE_4,38.766069,-123.544514
SBI_ARCH_POINT,33.48911,-119.02785
SBI_ARCH_POINT_CEN,33.485617,-119.028767
SBI_ARCH_POINT_S,33.482883,-119.029
SBI_CAT_CANYON,33.46442,-119.04408
SBI_CAT_CANYON_CEN,33.4644,-119.03915
SBI_GRAVEYARD_CANYON,33.47471,-119.02679
SBI_GRAVEYARD_CANYON_N,33.47515,-119.024767
SBI_SOUTHEAST_REEF,33.46293,-119.03127
SBI_SOUTHEAST_REEF_S,33.458967,-119.033183
