classcode,species_definition,campus,method,survey_year,year,month,day,site,zone,transect,category,count,pct_cov,depth,observer,notes,site_name_old
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,COVER,2,6.7,12.5,SARA ROSENBLATT,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,COVER,2,6.7,12.8,KAITLYN LANFIELD,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,1,COVER,2,6.7,5.5,CHRIS HONEYMAN,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,2,COVER,1,3.3,4.6,LINDSEY KRAEMER,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,1,COVER,2,6.7,14.8,KAITLYN LANFIELD,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,2,COVER,4,13.3,10.6,SARA ROSENBLATT,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_W,OUTER,1,COVER,2,6.7,6.7,KAITLYN LANFIELD,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_W,OUTER,2,COVER,4,13.3,8.2,SARA ROSENBLATT,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,7,ANACAPA_LIGHTHOUSE_REEF_CEN,INNER,1,COVER,3,10,4,CHRIS HONEYMAN,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,7,ANACAPA_LIGHTHOUSE_REEF_CEN,INNER,2,COVER,4,13.3,4.6,LINDSEY KRAEMER,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,1,COVER,8,26.7,9.6,KATIE DAVIS,. FEW SARMUT RECRUIT ON TRX,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,2,COVER,13,43.3,10.9,SARA ROSENBLATT,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,7,ANACAPA_LIGHTHOUSE_REEF_E,INNER,1,COVER,15,50,6,CHRIS HONEYMAN,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,7,ANACAPA_LIGHTHOUSE_REEF_E,INNER,2,COVER,9,30,7,CHRIS HONEYMAN,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_E,OUTER,1,COVER,7,23.3,8,SARA ROSENBLATT,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_E,OUTER,2,COVER,8,26.7,9.9,KATIE DAVIS,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,7,ANACAPA_LIGHTHOUSE_REEF_W,INNER,1,COVER,8,26.7,4.9,CHRIS HONEYMAN,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,7,ANACAPA_LIGHTHOUSE_REEF_W,INNER,2,COVER,4,13.3,5.2,LINDSEY KRAEMER,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_W,OUTER,1,COVER,14,46.7,12.4,SARA ROSENBLATT,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_W,OUTER,2,COVER,15,50,11.3,KATIE DAVIS,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,5,ANACAPA_MIDDLE_ISLE_CEN,INNER,1,COVER,6,20,10.9,LINDSEY KRAEMER,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,5,ANACAPA_MIDDLE_ISLE_CEN,INNER,2,COVER,3,10,10.7,CHRIS HONEYMAN,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,5,ANACAPA_MIDDLE_ISLE_CEN,OUTER,1,COVER,5,16.7,11,SARA ROSENBLATT,,
CRUCOR,Coralline Algae -Crustose,UCSB,SBTL_UPC_PISCO,2016,2016,7,5,ANACAPA_MIDDLE_ISLE_CEN,OUTER,2,COVER,5,16.7,13.1,KAITLYN LANFIELD,,
