Site,mean_chl_mg_m3,max_chl_mg_m3,min_chl_mg_m3,mean_sst_C,max_sst_C,min_sst_C,dist_200m_bath,DepthZone,giantkelp_stipe_density_m2,giantkelp_plant_density_m2,Relief_index,Relief_SD,Relief_simpson,Substrate_index,Substrate_SD,Substrate_simpson,Latitude,Longitude,BO_sstmax,BO_sstmean,BO_sstmin,BO_sstseas
ANACAPA_EAST_FISH_CAMP_CEN,1.49781360364031,5.22824050445293,0.395522829916674,17.2764705882353,21.16875,13.9125,1451.92555332031,INNER,5.38932291666667,1.28697916666667,0.289166666666667,0.471838130376148,0.316129032258065,3.70583333333333,0.54294965457564,0.287813620071685,34.001583,-119.398067,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
ANACAPA_EAST_FISH_CAMP_CEN,1.49781360364031,5.22824050445293,0.395522829916674,17.2764705882353,21.16875,13.9125,1451.92555332031,OUTER,0,0,0.0556666666666667,0.154024407031076,0.0974910394265233,3.61066666666667,0.631466785315168,0.308243727598566,34.001583,-119.398067,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
ANACAPA_EAST_FISH_CAMP_E,1.76200662662554,6.93360488937242,0.38375224927065,17.1935294117647,20.83125,14.19375,1768.70140949062,INNER,0.842307692307692,0.225,0.283166666666667,0.448392694036812,0.332616487455197,3.52766666666667,0.607541254767338,0.488172043010753,34.0045,-119.385783,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
ANACAPA_EAST_FISH_CAMP_E,1.76200662662554,6.93360488937242,0.38375224927065,17.1935294117647,20.83125,14.19375,1768.70140949062,OUTER,0,0,0.127666666666667,0.254625391324885,0.2,3.69416666666667,0.554706774090433,0.320071684587814,34.0045,-119.385783,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
ANACAPA_EAST_FISH_CAMP_W,1.88787251668553,5.5193494875882,0.417649834744813,17.0295180722892,21.05625,13.81875,1690.04017445576,INNER,5.96371527777778,0.7953125,0.0333333333333333,0.092247258763293,0.0573476702508961,3.411,0.986730804026029,0.337275985663083,34.003083,-119.404167,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
ANACAPA_EAST_FISH_CAMP_W,1.88787251668553,5.5193494875882,0.417649834744813,17.0295180722892,21.05625,13.81875,1690.04017445576,OUTER,0.455555555555556,0.156944444444444,0.1835,0.3530323532758,0.247311827956989,3.412,0.995156152454626,0.330824372759857,34.003083,-119.404167,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
ANACAPA_EAST_ISLE_CEN,1.44205497048757,4.22989781610611,0.55009147759185,16.990625,20.98125,14.109375,2815.537378001,INNER,6.67905405405405,1.57454954954955,1.2856875,0.665260280582199,0.51733870967742,3.8854375,0.219753969998221,0.145430107526882,34.017667,-119.363683,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
ANACAPA_EAST_ISLE_CEN,1.44205497048757,4.22989781610611,0.55009147759185,16.990625,20.98125,14.109375,2815.537378001,OUTER,5.07342105263158,1.02236842105263,0.2081875,0.343061128819411,0.238306451612903,3.2521875,0.789935277005983,0.546370967741936,34.017667,-119.363683,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
ANACAPA_EAST_ISLE_E,1.77954358857765,8.7082973610653,0.362100000589765,17.1538043478261,21.375,14.11875,2641.49644977728,INNER,4.49922928709056,0.954383429672447,1.097875,0.460808701930532,0.319086021505376,3.87675,0.229585255464125,0.136424731182796,34.017033,-119.361133,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
ANACAPA_EAST_ISLE_E,1.77954358857765,8.7082973610653,0.362100000589765,17.1538043478261,21.375,14.11875,2641.49644977728,OUTER,3.33205128205128,0.758547008547009,0.3686875,0.407353867476658,0.30510752688172,3.152125,0.813710916117573,0.530376344086021,34.017033,-119.361133,19.1720008850098,15.951000213623,13.6619997024536,5.51000022888184
