classcode,species_definition,campus,method,survey_year,year,month,day,site,zone,transect,count,size,disease,depth,observer,notes,site_name_old
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,1,1,,,6.7,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,2,,,12.2,AVREY PARSONS-FIELD,SHELL,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,1,3,,,13.4,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,1,1,,,5.2,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,1,7,,,13.6,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,1,1,,,13.7,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,1,4,,,9.8,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,2,2,,,10.6,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,1,8,,,9.8,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,2,19,,,10.6,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,7,ANACAPA_LIGHTHOUSE_REEF_E,INNER,1,1,,,6.4,KATIE DAVIS,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,7,ANACAPA_LIGHTHOUSE_REEF_E,INNER,2,1,,,7,KATIE DAVIS,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_E,OUTER,1,2,,,9.5,LAUREN PARKER,4 PANINT OF TRX,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_E,OUTER,2,7,,,9.6,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_W,OUTER,1,2,,,12.5,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,8,8,ANACAPA_LIGHTHOUSE_REEF_W,OUTER,2,10,,,11.2,KEEGAN BELL,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,5,ANACAPA_MIDDLE_ISLE_CEN,INNER,2,2,,,12.2,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,5,ANACAPA_MIDDLE_ISLE_CEN,OUTER,2,1,,,13.1,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,5,ANACAPA_MIDDLE_ISLE_E,OUTER,2,1,,,8.2,KEEGAN BELL,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,5,ANACAPA_MIDDLE_ISLE_W,OUTER,1,1,,,8.2,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,5,ANACAPA_MIDDLE_ISLE_W,OUTER,1,2,,,8.2,AVREY PARSONS-FIELD,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_CEN,OUTER,1,18,,,12.2,AVREY PARSONS-FIELD,"MANY SMALL, 4-5CM.",
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_CEN,OUTER,2,10,,,11.9,LAUREN PARKER,ALL >6CM.,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_CEN,OUTER,1,2,,,12.2,AVREY PARSONS-FIELD,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_CEN,OUTER,2,1,,,11.6,LAUREN PARKER,,
MURFRU,Muricea fruticosa,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_CEN,OUTER,1,1,,,12.2,AVREY PARSONS-FIELD,,
MURFRU,Muricea fruticosa,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_CEN,OUTER,2,1,,,11.6,LAUREN PARKER,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_E,OUTER,2,1,,,9.1,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_E,OUTER,2,1,,,9.1,LAUREN PARKER,,
MURCAL,Muricea californica,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_E,OUTER,1,1,,,10.1,LAUREN PARKER,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_WEST_ISLE_W,INNER,1,2,,,5.2,KATIE DAVIS,,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_W,OUTER,1,12,,,24.7,AVREY PARSONS-FIELD,. SOME SMALL EUGRUB,
EUGRUB,Eugorgia rubens,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_W,OUTER,2,4,,,26.2,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_W,OUTER,1,14,,,24.7,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,26,ANACAPA_WEST_ISLE_W,OUTER,2,5,,,26.2,LAUREN PARKER,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,ARROYO_QUEMADO_E,MID,1,1,,,9.1,AVREY PARSONS-FIELD,,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,ARROYO_QUEMADO_E,OUTER,1,11,,,14,AVREY PARSONS-FIELD,SOME LEPCHI SMALL ~10CM TALL.,
LEPCHI,Leptogorgia chilensis,UCSB,SBTL_SWATH_PISCO,2016,2016,7,19,ARROYO_QUEMADO_E,OUTER,2,1,,,13.4,LAUREN PARKER,,
