classcode,species_definition,campus,method,survey_year,year,month,day,site,zone,transect,count,size,disease,depth,observer,notes,site_name_old
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,2,5,1,,4.7,KATIE DAVIS,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,2,11,2,,4.6,KATIE DAVIS,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,2,2,3,,4.6,KATIE DAVIS,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,15,1,,11.9,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,10,2,,12,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,6,3,,11.8,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,4,4,,11.9,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,2,6,,11.8,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,1,7,,12.2,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,1,8,,11.9,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,1,14,,11.9,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,1,34,,12.2,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,3,1,,12.2,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,2,,12.2,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,4,,12.5,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,5,,12.5,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,2,8,,12.3,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,16,,12.2,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,17,,12.2,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,18,,12.5,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,21,,12.5,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,22,,12.5,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,23,,12.2,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,1,43,,12.2,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,1,1,1,,5.2,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,1,2,2,,5.2,LAUREN PARKER,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,2,2,1,,4.6,KATIE DAVIS,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,2,2,2,,4.6,KATIE DAVIS,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,2,3,3,,4.6,KATIE DAVIS,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,2,5,4,,4.6,KATIE DAVIS,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_E,INNER,2,1,14,,4.6,KATIE DAVIS,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,1,13,1,,13.6,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,1,13,2,,13.5,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,1,2,3,,13.7,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,1,2,4,,13.7,AVREY PARSONS-FIELD,,
MACPYRAD,Macrocystis pyrifera,UCSB,SBTL_SWATH_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_E,OUTER,1,2,5,,13.4,AVREY PARSONS-FIELD,,
