classcode,species_definition,campus,method,survey_year,year,month,day,site,zone,transect,category,count,pct_cov,depth,observer,notes,site_name_old
BEDRK,Substrate: Bedrock,UCSB,SBTL_UPC_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,1,SUBSTRATE,30,100,6.5,CHRIS HONEYMAN,,
BEDRK,Substrate: Bedrock,UCSB,SBTL_UPC_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,2,SUBSTRATE,29,96.7,4.7,LINDSEY KRAEMER,,
BEDRK,Substrate: Bedrock,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,SUBSTRATE,21,70,12.3,SARA ROSENBLATT,,
BEDRK,Substrate: Bedrock,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,2,SUBSTRATE,30,100,12.6,KAITLYN LANFIELD,,
BOULD,Substrate: Boulder,UCSB,SBTL_UPC_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,2,SUBSTRATE,1,3.3,4.3,LINDSEY KRAEMER,,
BOULD,Substrate: Boulder,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,SUBSTRATE,7,23.3,12.2,SARA ROSENBLATT,,
COB,Substrate: Cobble,UCSB,SBTL_UPC_PISCO,2016,2016,8,9,ANACAPA_EAST_ISLE_CEN,OUTER,1,SUBSTRATE,2,6.7,12.2,SARA ROSENBLATT,,
HIREL,Vertical Relief: High,UCSB,SBTL_UPC_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,1,RELIEF,26,86.7,6.5,CHRIS HONEYMAN,,
HIREL,Vertical Relief: High,UCSB,SBTL_UPC_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,2,RELIEF,28,93.3,4.7,LINDSEY KRAEMER,,
MODREL,Vertical Relief: Moderate,UCSB,SBTL_UPC_PISCO,2016,2016,7,6,ANACAPA_EAST_ISLE_CEN,INNER,1,RELIEF,4,13.3,6.7,CHRIS HONEYMAN,,
