site,zone,depth
ANACAPA_EAST_ISLE_CEN,OUTER,12.1
ANACAPA_EAST_ISLE_CEN,INNER,6.3
ANACAPA_EAST_ISLE_E,OUTER,12.2
ANACAPA_EAST_ISLE_E,INNER,5.6
ANACAPA_EAST_ISLE_W,INNER,5.3
ANACAPA_EAST_ISLE_W,OUTER,7.6
ANACAPA_LIGHTHOUSE_REEF_CEN,INNER,4.4
ANACAPA_LIGHTHOUSE_REEF_CEN,OUTER,9.2
ANACAPA_LIGHTHOUSE_REEF_E,INNER,5.3
ANACAPA_LIGHTHOUSE_REEF_E,OUTER,8.6
ANACAPA_LIGHTHOUSE_REEF_W,INNER,5.7
ANACAPA_LIGHTHOUSE_REEF_W,OUTER,10.2
ANACAPA_MIDDLE_ISLE_CEN,INNER,10.5
ANACAPA_MIDDLE_ISLE_CEN,OUTER,12.2
ANACAPA_MIDDLE_ISLE_E,INNER,5.6
ANACAPA_MIDDLE_ISLE_E,OUTER,8.7
ANACAPA_MIDDLE_ISLE_W,INNER,5.4
ANACAPA_MIDDLE_ISLE_W,OUTER,7.9
ANACAPA_WEST_ISLE_CEN,INNER,5.5
ANACAPA_WEST_ISLE_CEN,OUTER,12.2
ANACAPA_WEST_ISLE_E,OUTER,9.6
ANACAPA_WEST_ISLE_E,INNER,5.5
ANACAPA_WEST_ISLE_W,INNER,7.2
ANACAPA_WEST_ISLE_W,OUTER,23.4
ARROYO_QUEMADO_E,INNER,5.9
ARROYO_QUEMADO_E,OUTER,13.1
ARROYO_QUEMADO_E,MID,9
ARROYO_QUEMADO_W,INNER,6.3
ARROYO_QUEMADO_W,MID,8.8
ARROYO_QUEMADO_W,OUTER,13.2
HORSESHOE_REEF_E,INNER,6
HORSESHOE_REEF_E,MID,7.5
HORSESHOE_REEF_E,OUTER,9.9
HORSESHOE_REEF_W,OUTER,13.2
HORSESHOE_REEF_W,INNER,8.7
HORSESHOE_REEF_W,MID,9.5
IV_REEF_E,OUTER,11.6
IV_REEF_E,INNER,5.8
IV_REEF_E,MID,8.3
IV_REEF_W,OUTER,12.2
IV_REEF_W,MID,8.9
IV_REEF_W,INNER,6.7
NAPLES_CEN,OUTER,14.9
NAPLES_CEN,INNER,9.3
NAPLES_E,OUTER,13.6
NAPLES_E,INNER,13.3
NAPLES_W,INNER,11.4
NAPLES_W,OUTER,13.6
SCI_CAVERN_POINT_E,MID,10.2
SCI_CAVERN_POINT_E,OUTER,15.2
SCI_CAVERN_POINT_E,INNER,6.1
SCI_CAVERN_POINT_W,OUTER,11.7
SCI_CAVERN_POINT_W,INNER,5.5
SCI_CAVERN_POINT_W,MID,8.5
SCI_COCHE_POINT_E,INNER,6
SCI_COCHE_POINT_E,OUTER,17.1
SCI_COCHE_POINT_E,MID,10.9
SCI_COCHE_POINT_W,OUTER,16.7
SCI_COCHE_POINT_W,MID,10.9
SCI_COCHE_POINT_W,INNER,6
SCI_HAZARDS_CEN,OUTER,12.9
SCI_HAZARDS_CEN,INNER,5.3
SCI_HAZARDS_E,INNER,5.6
SCI_HAZARDS_E,OUTER,11.1
SCI_HAZARDS_W,INNER,5.3
SCI_HAZARDS_W,OUTER,12.5
SCI_PELICAN_CEN,OUTER,10.3
SCI_PELICAN_CEN,INNER,5.3
SCI_PELICAN_E,INNER,5.4
SCI_PELICAN_E,OUTER,9.3
SCI_PELICAN_W,OUTER,11
SCI_PELICAN_W,INNER,5.6
SCI_SCORPION_E,INNER,5.5
SCI_SCORPION_E,MID,11.8
SCI_SCORPION_E,OUTER,17.6
SCI_SCORPION_W,INNER,5.5
SCI_SCORPION_W,MID,8.4
SCI_SCORPION_W,OUTER,11.4
SMI_CUYLER_E,INNER,8
SMI_CUYLER_E,MID,9.9
SMI_CUYLER_E,OUTER,13.1
SMI_CUYLER_W,MID,8.3
SMI_CUYLER_W,INNER,5.8
SMI_CUYLER_W,OUTER,12.6
SMI_HARRIS_PT_RESERVE_E,MID,10.2
SMI_HARRIS_PT_RESERVE_E,OUTER,12.2
SMI_HARRIS_PT_RESERVE_E,INNER,8.8
SMI_HARRIS_PT_RESERVE_W,INNER,6.1
SMI_HARRIS_PT_RESERVE_W,MID,8.4
SMI_HARRIS_PT_RESERVE_W,OUTER,12.3
SRI_CLUSTER_POINT_N,OUTER,19.8
SRI_CLUSTER_POINT_N,MID,9.8
SRI_CLUSTER_POINT_N,INNER,8.1
SRI_CLUSTER_POINT_S,OUTER,18.1
SRI_CLUSTER_POINT_S,INNER,9.7
SRI_CLUSTER_POINT_S,MID,10.9
SRI_JOHNSONS_LEE_SOUTH_E,OUTER,14.3
SRI_JOHNSONS_LEE_SOUTH_E,MID,12.9
SRI_JOHNSONS_LEE_SOUTH_E,INNER,14.3
SRI_JOHNSONS_LEE_SOUTH_W,INNER,9
SRI_JOHNSONS_LEE_SOUTH_W,OUTER,17.3
SRI_JOHNSONS_LEE_SOUTH_W,MID,11.8
SRI_SOUTH_POINT_E,MID,10.1
SRI_SOUTH_POINT_E,OUTER,15.2
SRI_SOUTH_POINT_E,INNER,7.8
SRI_SOUTH_POINT_W,MID,11.4
SRI_SOUTH_POINT_W,INNER,7.2
SRI_SOUTH_POINT_W,OUTER,15.3
BLUEFISH_DC,INNER,5
BLUEFISH_DC,MID,12.9
BLUEFISH_DC,OUTER,19.3
BLUEFISH_UC,INNER,5.2
BLUEFISH_UC,MID,12.7
BLUEFISH_UC,OUTER,18.9
BUCHON,OUTER,19.2
BUCHON,INNER,6
BUCHON,MID,13.2
CROWBAR,INNER,5.8
CROWBAR,MID,12.9
CROWBAR,OUTER,19.7
GREEN_PEAK,OUTER,15.4
GREEN_PEAK,INNER,6.2
GREEN_PEAK,MID,11.7
HOPKINS_DC,MID,9.7
HOPKINS_DC,OUTER,12.5
HOPKINS_DC,INNER,5.2
HOPKINS_UC,OUTER,11.5
