site,campus,site_name_old,site_name_for_figures,latitude_originalfromVRG,longitude_originalfromVRG,latitude,longitude,site_campus_unique_ID,latitude_old,longitude_old,mpa_group,mpa_type,site_status,secondary_mpa,secondary_status,MLPA_longterm_in_proposal,STATE,mlpa_region,LongTermRegion,analysis_region_2,subregion,MXSRVYDPT_,YEAR_MPA,MPAAreaNM2,MPAShoreNM,CDIP_MOP,time_series_category,NOTES,survey_1999,survey_2000,survey_2001,survey_2002,survey_2003,survey_2004,survey_2005,survey_2006,survey_2007,survey_2008,survey_2009,survey_2010,survey_2011,survey_2012,survey_2013,survey_2014,survey_2015,survey_2016,survey_2017,survey_2018,survey_2019,survey_2020,survey_2021,survey_2022,survey_2023,SurveyYears
MCKENZIE_W,UCSC,,Mckenzie W,,,42.784524,-124.577982,MCKENZIE_W UCSC,,,Redfish Rocks MR,MR,reference,,,NO,OREGON,N/A,N/A,#N/A,Redfish Rocks,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Macklyn Cove,RCCA,,Macklyn Cove,,,42.0452,-124.2947,Macklyn Cove RCCA,,,Pyramid Point SMCA,SMCA,reference,,,YES,OREGON,NORTH,North Coast,North Coast,,,,,,,,ETS-MLPA status changed based on conversations with RCCA,,,,,,,,,,,,,,,,,,,,,,,,,,0
BROOKINGS_1,HSU,,Brookings 1,,,42.02401,-124.26606,BROOKINGS_1 HSU,,,Pyramid Point SMCA,SMCA,reference,,,NO,OREGON,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BROOKINGS_2,HSU,,Brookings 2,,,42.00874,-124.24674,BROOKINGS_2 HSU,,,Pyramid Point SMCA,SMCA,reference,,,NO,OREGON,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BROOKINGS_3,HSU,,Brookings 3,,,42.00195,-124.24337,BROOKINGS_3 HSU,,,Pyramid Point SMCA,SMCA,reference,,,NO,OREGON,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f,c,s,u,","f, ,s,u,",,,,,2
PYRAMID_POINT_1,HSU,,Pyramid Point 1,,,41.99898,-124.24377,PYRAMID_POINT_1 HSU,,,Pyramid Point SMCA,SMCA,mpa,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,",,,"f, ,s,u,","f, ,s,u,",,,,,3
Pyramid Pt,RCCA,Pyramid Point,Pyramid Point,,,41.9948,-124.2172,Pyramid Pt RCCA,,,Pyramid Point SMCA,SMCA,mpa,,,YES,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,ETS-MLPA status changed based on conversations with RCCA,,,,,,,,,,,,,,,,,,,,,,,,,,0
PYRAMID_POINT_2,HSU,,Pyramid Point 2,,,41.99057,-124.23588,PYRAMID_POINT_2 HSU,,,Pyramid Point SMCA,SMCA,mpa,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,",,,"f, ,s,u,","f, ,s,u,",,,,,3
PYRAMID_POINT_3,HSU,,Pyramid Point 3,,,41.97938,-124.23073,PYRAMID_POINT_3 HSU,,,Pyramid Point SMCA,SMCA,mpa,,,NO,CALIFORNIA,NORTH,North Coast,North Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,","f, ,s,u,",,,,,2
TRINIDAD_1,HSU,,Trinidad 1,,,41.12788,-124.17548,TRINIDAD_1 HSU,,,N/A,N/A,N/A,,,NO,CALIFORNIA,NORTH,North Coast,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f, ,s,u,z",,,,1
