sample_type,sample_subtype,campus,pisco_classcode,orig_classcode,crane_code,genus,species,common_name,max_total_length,notes,size_cutoff,LOOKED1999,LOOKED2000,LOOKED2001,LOOKED2002,LOOKED2003,LOOKED2004,LOOKED2005,LOOKED2006,LOOKED2007,LOOKED2008,LOOKED2009,LOOKED2010,LOOKED2011,LOOKED2012,LOOKED2013,LOOKED2014,LOOKED2015,LOOKED2016,LOOKED2017,LOOKED2018,LOOKED2019,LOOKED2020,LOOKED2021,LOOKED2022,LOOKED2023,LOOKED2024,Taxonomic_source,AphiaID,ScientificName,Kingdom,Phylum,Class,Order,Family
FISH,FISH,HSU,AARG,AARG,,Amphistichus,argenteus,Barred Surfperch,43,,,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,X,WoRMS,279594,Amphistichus argenteus,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae
FISH,FISH,UCSB,AARG,AARG,,Amphistichus ,argenteus,Barred Surfperch,43,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,279594,Amphistichus argenteus,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae
FISH,FISH,VRG,AARG,Amphistichus argenteus,,Amphistichus,argenteus,Barred Surfperch,43,,,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,279594,Amphistichus argenteus,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae
FISH,FISH,HSU,ACOR,ACOR,ACOR,Artedius,corallinus,Coralline Sculpin,14,"Cryptic, not sampled effectiively",,,,,,,,,,,,,,,,,,,,,,,,,,,,WoRMS,279699,Artedius corallinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae
FISH,FISH,UCSB,ACOR,ACOR,ACOR,Artedius,corallinus,Coralline Sculpin,14,"Cryptic, not sampled effectiively",,,,,,,,,,,,,,,,,,,,,,,,,,,,WoRMS,279699,Artedius corallinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae
FISH,FISH,UCSC,ACOR,ACOR,ACOR,Artedius,corallinus,Coralline Sculpin,14,"Cryptic, not sampled effectiively",,,,,,,,,,,,,,,,,,,,,,,,,,,,WoRMS,279699,Artedius corallinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae
FISH,FISH,VRG,ACOR,Artedius corallinus,ACOR,Artedius,corallinus,Coralline Sculpin,14,"Cryptic, not sampled effectiively",,,,,,,,,,,,,,,,,,,,,,,,,,,,WoRMS,279699,Artedius corallinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae
FISH,FISH,HSU,ADAV,ADAV,ADAV,Anisotremus,davidsonii,Sargo,58,,,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,X,WoRMS,279617,Anisotremus davidsonii,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae
FISH,FISH,UCSB,ADAV,ADAV,ADAV,Anisotremus,davidsonii,Sargo,58,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,279617,Anisotremus davidsonii,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae
FISH,FISH,UCSC,ADAV,ADAV,ADAV,Anisotremus,davidsonii,Sargo,58,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,279617,Anisotremus davidsonii,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae
FISH,FISH,VRG,ADAV,Anisotremus davidsonii,ADAV,Anisotremus,davidsonii,Sargo,58,,,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,279617,Anisotremus davidsonii,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae
FISH,FISH,HSU,AFLA,AFLA,AFLA,Aulorhynchus,flavidus,Tubesnout,18,,,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,X,WoRMS,279839,Aulorhynchus flavidus,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae
FISH,FISH,UCSB,AFLA,AFLA,AFLA,Aulorhynchus,flavidus,Tubesnout,18,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,279839,Aulorhynchus flavidus,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae
FISH,FISH,UCSC,AFLA,AFLA,AFLA,Aulorhynchus,flavidus,Tubesnout,18,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,279839,Aulorhynchus flavidus,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae
FISH,FISH,VRG,AFLA,Aulorhynchus flavidus,AFLA,Aulorhynchus,flavidus,Tubesnout,18,,,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,279839,Aulorhynchus flavidus,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae
FISH,FISH,UCSB,AGUA,AGUA,,Apogon,guadalupensis,Guadalupe Cardinalfish,13,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,273016,Apogon guadalupensis,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
FISH,FISH,VRG,AGUA,Apogon guadalupensis,,Apogon,guadalupensis,Guadalupe Cardinalfish,13,,,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,273016,Apogon guadalupensis,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae
FISH,FISH,HSU,AHAR,AHAR,,Artedius,harringtoni,Scaleyhead Sculpin,10,"Cryptic, not sampled effectiively",,,,,,,,,,,,,,,,,,,,,,,,,,,,WoRMS,279701,Artedius harringtoni,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae
FISH,FISH,UCSC,AHEX,AHEX,,Ammodytes,hexapterus,Sandlance,30,"AS OF 2020, ONLY ONE OBSERVATION FROM 2001",,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WoRMS,254510,Ammodytes hexapterus,Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae
FISH,FISH,HSU,AHOL,AHOL,AHOL,Alloclinus,holderi,Island Kelpfish,10,"Cryptic, not sampled effectiively",,,,,,,,,,,,,,,,,,,,,,,,,,,,WoRMS,279560,Alloclinus holderi,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae
FISH,FISH,UCSB,AHOL,AHOL,AHOL,Alloclinus,holderi,Island Kelpfish,10,"Cryptic, not sampled effectiively",,,,,,,,,,,,,,,,,,,,,,,,,,,,WoRMS,279560,Alloclinus holderi,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae
