data_type,group,pisco_classcode,high_abundance,ecologically_significant,cultural_significance,endangered_threatened,recreational_importance,commercial_importance,analysis_filter_1,analysis_filter_1_notes,cryptic,genus,species,common_name,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,size_cutoff,sampling_notes,juv_size_cutoff,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,source_LW_LC,WL_Reference_Notes,LC.a._for_WL,LC.b._for_WL,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL,Max_Length_fishbase,temporary copy of Targeted,Size_Mature_cm,SM_input_length,F_SM_Notes,source_maturity,No.Lat,So.Lat,source_biogeography,TrophicGroup,BroadTrophic,source_trophic,Targeted,CommercialTargeted,RecreationTargeted,notes_trophic_targeted,recreational_legal_size_in_TL_2020,commercial_legal_size_in_TL_2020,legal_size_in,yoy_size,yoy_code,Thermal grouping from UCSC 2012 biogeo,thermal_composite_class_from_Freedman_et_al_2021,thermal_agreement,source_thermal,feeding_mode,water_column_position,mobility,substrate_association,source_behavior,biomass_buster,F_Type_toupdate,F_a_toupdate,F_b_toupdate,F_L_units_toupdate,F_input_length_toupdate,L_conversion_toupdate,Description_toupdate,Output.units_toupdate,F_Citation_toupdate,source_fecundity_toupdate,fecundity_notes_toupdate
fish,fish,AARG,,,,,,,,,,Amphistichus,argenteus,Barred Surfperch,Amphistichus argenteus,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,,,10,0.03,3,g,cm,SL,VRG,Ruiz-Campos et al. 2006,0.805,0.203,TYPICAL,Karpov and Kwiecien 1988,,43,Targeted,16.5,,,"https://wildlife.ca.gov/Fishing/Ocean/Fish-ID/Sportfish/Perches#:~:text=Barred%20surfperch%20give%20birth%20to,1%20or%202%20years%20old.",38,28,Biogeography database Fish from Ecol of Marine FIshes Appendix 1-1,benthic micro-invertivore,carnivore,VRG,Targeted,,,,,,,,,,,,,discriminant predator,benthopelagic (near the bottom),mobile (>1000m),soft,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,ACOR,,,,,,,,,X,Artedius,corallinus,Coralline Sculpin,Artedius corallinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,,3,3.19E-05,2.8831,g,mm,SL,VRG,Williams et al. 2013,0.8414,-0.10798,TYPICAL,VRG unpublished data,(SL = aTL+b)cm,14,Nontargeted,,,,,48,30,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Cool,Moderate,Freedman,discriminant predator,benthic (on/in the bottom),mobile (10-100m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,ADAV,,,,,,,,,,Anisotremus,davidsonii,Sargo,Anisotremus davidsonii,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,,,10,1.64E-05,3.1266,g,mm,SL,VRG,Williams et al. 2013,1.2345,0.5784,REVERSE,Williams et al. 2013,TL= 1.2345 *SL + 5.784,58,Nontargeted,,,,,37,24,Biogeography database Fish from Ecol of Marine FIshes Appendix 1-1,benthic macro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Warm,High,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (100-1000m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,AFLA,,,,,,,,,,Aulorhynchus,flavidus,Tubesnout,Aulorhynchus flavidus,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae,,,5,1.62E-07,3.43,g,mm,TL,VRG,Bayer 1980,,,,,,18,Nontargeted,,,,,57,27,VRG,planktivore,planktivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Cool,High,Freedman,discriminant predator,resident pelagic (upper water column),mobile (10-100m),none (pelagic),PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,AFUC,,,,,,,,,,Apodichthys,fucorum,Rockweed Gunnel,Apodichthys fucorum,Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,,,10,7.61E-07,3.296,g,mm,TL,VRG,used Apodichthys flavidus (Burge and Schultz 1973),,,,,,23,Nontargeted,,,,,53,29,Love 2011,benthic macro-invertivore,carnivore,Love 2011,Nontargeted,,,,,,,,,,Cool,High,Freedman,discriminant predator,benthic (on/in the bottom),mobile (1-10m),algae,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,AGUA,,,,,,,,,,Apogon,guadalupensis,Guadalupe Cardinalfish,Apogon guadalupensis,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,,,10,0.01034,3.07492,g,cm,TL,VRG,Balart et al. 2006 (used A. pacificus),,,,,,13,Nontargeted,,,,,33,23,VRG,benthic micro-invertivore,carnivore,VRG,Nontargeted,,,,,,,,,,Warm,High,Freedman,discriminant predator,benthopelagic (near the bottom),mobile (1-10m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,AHAR,,,,,,,,,X,Artedius,harringtoni,Scalyhead Sculpin,Artedius harringtoni,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,,3,3.19E-05,2.8831,g,mm,SL,VRG,used Artedius corallinus,0.8414,-0.10798,TYPICAL,used Artedius corallinus,(SL = aTL+b)cm,10,Nontargeted,,,,,57,34,VRG,benthic micro-invertivore,carnivore,Love 2011,Nontargeted,,,,,,,,,,,,,discriminant predator,benthic (on/in the bottom),mobile (1-10m),rock,PISCO species functional groups table (used COTT for family traits),0,,,,,,,,,,,
fish,fish,AHOL,,,,,,,,,X,Alloclinus,holderi,Island Kelpfish,Alloclinus holderi,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,,,5,0.008303,3.089217,g,cm,TL,VRG,Love unpublished data,,,,,,10,Nontargeted,,,,,34,27,VRG,benthic micro-invertivore,carnivore,PISCO Fish size_trophic_table,Nontargeted,,,,,,,,,,Warm,High,Freedman,discriminant predator,benthic (on/in the bottom),mobile (1-10m),rock,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,AINE,,,,,,,,,,Anoplagonus,inermis,Smooth Alligatorfish,Anoplagonus inermis,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,,,4,0.003145,3.030433,g,cm,TL,VRG,used Xeneretmus latifrons,,,,,,15,Nontargeted,,,,,55,39,Love 2011,benthic micro-invertivore,carnivore,Love 2011,Nontargeted,,,"Diet info not found, guessed based on family",,,,,,,,,,discriminant predator,benthic (on/in the bottom),mobile (10-100m),soft,PISCO species functional groups table,0,,,,,,,,,,,
fish,fish,ANOB,,,,,,,,,,Atractoscion,nobilis,White Seabass,Atractoscion nobilis,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,,,10,2.97E-05,2.8724,g,mm,SL,VRG,Williams et al. 2013,1.1527,1.1294,REVERSE,Williams et al. 2013,TL= 1.1527 *SL + 11.294,166,Targeted,51,,"male SM 51, female SM 61","https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=34417&inline#:~:text=The%20minimum%20legal%20size%20for,pounds%20(9%2Dkilograms).",58,24,VRG,piscivore,piscivore,VRG,Targeted,,,,28,28,28,,,,Warm,Moderate,Freedman,discriminant predator,roaming pelagic,mobile (>1000m),none (pelagic),PISCO species functional groups table,1,,,,,,,,,,,
